               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11882,            0.074876,            0.026419,            0.071401,            0.097294,            0.028199,           0.0072839,             0.10778,             0.06221,            0.018645,            0.070357,           0.0032937,           0.0032937
                   1,             0.10075,            0.070362,            0.018489,             0.21248,             0.38432,             0.17882,            0.046326,            0.090272,            0.060331,             0.01441,            0.039701,           0.0059709,           0.0059709
                   2,            0.091977,            0.066803,            0.015776,             0.24712,             0.38827,             0.21274,            0.058397,            0.087542,            0.054124,            0.011728,            0.008385,           0.0079882,           0.0079882
                   3,            0.084633,             0.06719,            0.013717,             0.31462,             0.45446,              0.2845,             0.09812,            0.079819,            0.055377,            0.009819,             0.00703,             0.00703,             0.00703
                   4,            0.077998,            0.067747,            0.012545,             0.43339,             0.46892,              0.4244,             0.15283,            0.074593,             0.05702,           0.0094547,             0.00703,             0.00703,             0.00703
                   5,            0.073624,            0.067301,            0.011369,              0.6464,             0.51376,             0.55114,             0.24499,             0.06725,            0.056862,           0.0092548,             0.00604,             0.00604,             0.00604
                   6,            0.068873,            0.065789,            0.011428,             0.61591,             0.56503,             0.57543,             0.24686,            0.064628,            0.056352,           0.0088846,             0.00505,             0.00505,             0.00505
                   7,             0.06593,            0.066696,             0.01074,             0.65991,             0.59443,             0.61467,             0.29739,            0.060784,            0.056227,           0.0087275,             0.00406,             0.00406,             0.00406
                   8,            0.064606,            0.066449,            0.010888,              0.6431,             0.61693,             0.63187,             0.31804,            0.059468,            0.056149,           0.0085229,             0.00307,             0.00307,             0.00307
                   9,            0.062317,            0.065815,            0.010281,             0.69105,             0.63007,             0.64766,             0.33712,            0.057333,            0.055842,           0.0085595,             0.00208,             0.00208,             0.00208
